year,month,state,rto,vehicle_class,fuel,value,unit,note
2023,June,Rajasthan,All Vahan Running Office,ARTICULATED VEHICLE,ELECTRIC(BOV),1,value in Absolute Number,
2018,June,Manipur,All Vahan Running Office,MOPED,PETROL,114,value in Absolute Number,
2020,October,Chhattisgarh,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),9,value in Absolute Number,
2024,October,Madhya Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,1,value in Absolute Number,
2023,February,Chandigarh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,277,value in Absolute Number,
2016,October,Sikkim,All Vahan Running Office,MOTOR CAR,PETROL,154,value in Absolute Number,
2024,May,Delhi,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1840,value in Absolute Number,
2019,December,Tripura,All Vahan Running Office,MAXI CAB,PETROL,1,value in Absolute Number,
2018,August,West Bengal,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,424,value in Absolute Number,
2024,October,Jammu and Kashmir,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,1,value in Absolute Number,
2016,January,Maharashtra,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),NOT APPLICABLE,1,value in Absolute Number,
2021,July,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/CNG,4,value in Absolute Number,
2019,January,Rajasthan,All Vahan Running Office,MAXI CAB,DIESEL,284,value in Absolute Number,
2021,July,Haryana,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),2,value in Absolute Number,
2023,September,Kerala,All Vahan Running Office,GOODS CARRIER,PETROL,176,value in Absolute Number,
2015,April,Madhya Pradesh,All Vahan Running Office,TRAILER (AGRICULTURAL),DIESEL,14,value in Absolute Number,
2019,August,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,1,value in Absolute Number,
2017,April,Kerala,All Vahan Running Office,MOTOR CAR,PETROL/CNG,29,value in Absolute Number,
2021,June,Uttarakhand,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,15,value in Absolute Number,
2022,April,Ladakh,All Vahan Running Office,MOTOR CAR,PETROL,88,value in Absolute Number,
2020,June,Goa,All Vahan Running Office,MOTOR CAB,DIESEL,3,value in Absolute Number,
2015,December,Karnataka,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,19,value in Absolute Number,
2021,February,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,1,value in Absolute Number,
2018,December,Puducherry,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,1,value in Absolute Number,
2018,July,Uttar Pradesh,All Vahan Running Office,MOBILE WORKSHOP,DIESEL,1,value in Absolute Number,
2022,December,Jharkhand,All Vahan Running Office,TRACTOR (COMMERCIAL),NOT APPLICABLE,1,value in Absolute Number,
2024,May,Ladakh,All Vahan Running Office,MOTOR CAR,PETROL,179,value in Absolute Number,
2024,April,Himachal Pradesh,All Vahan Running Office,GOODS CARRIER,CNG ONLY,7,value in Absolute Number,
2023,October,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,102,value in Absolute Number,
2024,July,Maharashtra,All Vahan Running Office,AGRICULTURAL TRACTOR,ELECTRIC(BOV),1,value in Absolute Number,
2019,May,Karnataka,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,790,value in Absolute Number,
2024,June,Himachal Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,9,value in Absolute Number,
2024,April,Chhattisgarh,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,10,value in Absolute Number,
2024,November,Uttar Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,658,value in Absolute Number,
2015,July,Tamil Nadu,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),3,value in Absolute Number,
2014,September,Rajasthan,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,1,value in Absolute Number,
2022,August,Karnataka,All Vahan Running Office,MOPED,ELECTRIC(BOV),240,value in Absolute Number,
2020,July,Jharkhand,All Vahan Running Office,MOTOR CAB,DIESEL,44,value in Absolute Number,
2021,July,Uttarakhand,All Vahan Running Office,GOODS CARRIER,DIESEL,384,value in Absolute Number,
2019,November,Himachal Pradesh,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,46,value in Absolute Number,
2024,January,Nagaland,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,1,value in Absolute Number,
2024,April,Madhya Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL,192,value in Absolute Number,
2021,July,Chandigarh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,2,value in Absolute Number,
2021,July,Chandigarh,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),24,value in Absolute Number,
2024,January,Himachal Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),1,value in Absolute Number,
2018,February,Rajasthan,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,16,value in Absolute Number,
2023,May,Chandigarh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,16,value in Absolute Number,
2023,March,Madhya Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),136,value in Absolute Number,
2023,August,Rajasthan,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,322,value in Absolute Number,
2015,May,Tripura,All Vahan Running Office,MOTOR CAB,CNG ONLY,2,value in Absolute Number,
2023,November,Rajasthan,All Vahan Running Office,MOTOR CAR,DIESEL,4849,value in Absolute Number,
2014,September,Karnataka,All Vahan Running Office,BUS,DIESEL,273,value in Absolute Number,
2020,May,Jharkhand,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,2,value in Absolute Number,
2019,July,Maharashtra,All Vahan Running Office,EXCAVATOR (NT),DIESEL,187,value in Absolute Number,
2025,April,Uttar Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,27,value in Absolute Number,
2021,September,Karnataka,All Vahan Running Office,OMNI BUS,DIESEL,3,value in Absolute Number,
2024,September,Assam,All Vahan Running Office,THREE WHEELER (GOODS),PETROL,2,value in Absolute Number,
2016,June,Gujarat,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,1,value in Absolute Number,
2018,August,Arunachal Pradesh,All Vahan Running Office,OMNI BUS,DIESEL,1,value in Absolute Number,
2022,April,Bihar,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,887,value in Absolute Number,
2017,July,West Bengal,All Vahan Running Office,MOTOR CAR,PETROL/CNG,1,value in Absolute Number,
2020,December,Uttar Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,7,value in Absolute Number,
2021,September,Delhi,All Vahan Running Office,AMBULANCE,DIESEL,1,value in Absolute Number,
2023,June,Uttarakhand,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,5,value in Absolute Number,
2018,November,Odisha,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,241,value in Absolute Number,
2015,September,Gujarat,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),1,value in Absolute Number,
2014,February,Chhattisgarh,All Vahan Running Office,AMBULANCE,PETROL,4,value in Absolute Number,
2023,October,Gujarat,All Vahan Running Office,MOTOR CAB,PETROL/CNG,772,value in Absolute Number,
2024,June,Puducherry,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),10,value in Absolute Number,
2023,February,Kerala,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,81,value in Absolute Number,
2024,November,Odisha,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),287,value in Absolute Number,
2021,February,Tamil Nadu,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),112,value in Absolute Number,
2018,February,Maharashtra,All Vahan Running Office,FORK LIFT,DIESEL,34,value in Absolute Number,
2016,April,Rajasthan,All Vahan Running Office,GOODS CARRIER,CNG ONLY,3,value in Absolute Number,
2019,November,Rajasthan,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,CNG ONLY,1,value in Absolute Number,
2021,March,Uttar Pradesh,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,18,value in Absolute Number,
2016,May,Nagaland,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,91,value in Absolute Number,
2017,February,Chhattisgarh,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,63,value in Absolute Number,
2024,September,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,AMBULANCE,DIESEL,1,value in Absolute Number,
2020,March,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,2,value in Absolute Number,
2019,March,Sikkim,All Vahan Running Office,MOTOR CAB,PETROL,96,value in Absolute Number,
2024,September,Uttarakhand,All Vahan Running Office,ADAPTED VEHICLE,PETROL,3,value in Absolute Number,
2017,February,Punjab,All Vahan Running Office,TRAILER FOR PERSONAL USE,PETROL,1,value in Absolute Number,
2016,August,Assam,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,8,value in Absolute Number,
2021,October,Odisha,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,25,value in Absolute Number,
2023,March,Chhattisgarh,All Vahan Running Office,ADAPTED VEHICLE,PETROL/HYBRID,1,value in Absolute Number,
2021,March,Kerala,All Vahan Running Office,MOTOR CAB,DIESEL,23,value in Absolute Number,
2020,February,Rajasthan,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,266,value in Absolute Number,
2024,February,Madhya Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),4084,value in Absolute Number,
2019,March,Kerala,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,1,value in Absolute Number,
2022,April,Andhra Pradesh,All Vahan Running Office,POWER TILLER,DIESEL,1,value in Absolute Number,
2020,October,Punjab,All Vahan Running Office,M-CYCLE/SCOOTER,NOT APPLICABLE,1,value in Absolute Number,
2024,June,Ladakh,All Vahan Running Office,GOODS CARRIER,PETROL,1,value in Absolute Number,
2023,May,Assam,All Vahan Running Office,FORK LIFT,DIESEL,1,value in Absolute Number,
2024,December,Karnataka,All Vahan Running Office,THREE WHEELER (PERSONAL),ELECTRIC(BOV),1,value in Absolute Number,
2023,October,Tamil Nadu,All Vahan Running Office,EXCAVATOR (NT),DIESEL,1,value in Absolute Number,
2022,March,Assam,All Vahan Running Office,MOTOR CAR,DIESEL,1139,value in Absolute Number,
2016,June,Maharashtra,All Vahan Running Office,DUMPER,DIESEL,1,value in Absolute Number,
2023,December,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL,743,value in Absolute Number,
2023,February,Jharkhand,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,350,value in Absolute Number,
2020,February,Tamil Nadu,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/LPG,1,value in Absolute Number,
2020,February,Arunachal Pradesh,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,1,value in Absolute Number,
2018,June,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/LPG,118,value in Absolute Number,
2022,June,West Bengal,All Vahan Running Office,LUXURY CAB,PETROL/CNG,30,value in Absolute Number,
2019,May,Madhya Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/CNG,130,value in Absolute Number,
2015,May,West Bengal,All Vahan Running Office,EXCAVATOR (NT),DIESEL,2,value in Absolute Number,
2018,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL,304,value in Absolute Number,
2021,October,Nagaland,All Vahan Running Office,MOTOR CAB,PETROL,15,value in Absolute Number,
2016,September,Haryana,All Vahan Running Office,TOWER WAGON,DIESEL,2,value in Absolute Number,
2017,January,Kerala,All Vahan Running Office,MOTOR CAR,LPG ONLY,1,value in Absolute Number,
2020,November,Sikkim,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,333,value in Absolute Number,
2022,December,Madhya Pradesh,All Vahan Running Office,MOPED,PETROL,449,value in Absolute Number,
2024,November,Chhattisgarh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,32,value in Absolute Number,
2023,December,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MOTOR CAB,DIESEL,3,value in Absolute Number,
2015,April,Rajasthan,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,2,value in Absolute Number,
2022,January,Sikkim,All Vahan Running Office,MOTOR CAR,DIESEL,64,value in Absolute Number,
2021,August,Sikkim,All Vahan Running Office,MOTOR CAB,PETROL,56,value in Absolute Number,
2024,September,West Bengal,All Vahan Running Office,MOTOR CAR,DIESEL,990,value in Absolute Number,
2014,January,Delhi,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,5,value in Absolute Number,
2020,April,Gujarat,All Vahan Running Office,AMBULANCE,DIESEL,3,value in Absolute Number,
2021,September,Assam,All Vahan Running Office,MOPED,PETROL,288,value in Absolute Number,
2019,March,Gujarat,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,4,value in Absolute Number,
2016,December,Tripura,All Vahan Running Office,MOTOR CAR,PETROL/CNG,36,value in Absolute Number,
2016,June,Gujarat,All Vahan Running Office,MOTOR CAR,DIESEL,7964,value in Absolute Number,
2022,September,Goa,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),4,value in Absolute Number,
2017,November,Maharashtra,All Vahan Running Office,GOODS CARRIER,NOT APPLICABLE,11,value in Absolute Number,
2016,November,Arunachal Pradesh,All Vahan Running Office,MAXI CAB,PETROL,1,value in Absolute Number,
2016,August,Madhya Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,3847,value in Absolute Number,
2023,January,Jharkhand,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,2,value in Absolute Number,
2016,May,Haryana,All Vahan Running Office,BUS,DIESEL,544,value in Absolute Number,
2017,March,Ladakh,All Vahan Running Office,BUS,DIESEL,2,value in Absolute Number,
2016,March,Tripura,All Vahan Running Office,MOTOR CAR,CNG ONLY,59,value in Absolute Number,
2024,July,Ladakh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,2,value in Absolute Number,
2024,October,Tamil Nadu,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,1,value in Absolute Number,
2020,March,Bihar,All Vahan Running Office,MAXI CAB,DIESEL,155,value in Absolute Number,
2019,July,Himachal Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,1,value in Absolute Number,
2017,December,Uttar Pradesh,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,61,value in Absolute Number,
2021,November,Arunachal Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,1,value in Absolute Number,
2022,February,Jharkhand,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),10,value in Absolute Number,
2019,December,Jharkhand,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,71,value in Absolute Number,
2015,April,Uttar Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL,7,value in Absolute Number,
2014,November,Goa,All Vahan Running Office,AMBULANCE,DIESEL,1,value in Absolute Number,
2017,May,Karnataka,All Vahan Running Office,BUS,DIESEL,705,value in Absolute Number,
2014,August,Odisha,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,588,value in Absolute Number,
2019,February,Punjab,All Vahan Running Office,GOODS CARRIER,CNG ONLY,6,value in Absolute Number,
2016,March,Uttar Pradesh,All Vahan Running Office,GOODS CARRIER,DIESEL,4958,value in Absolute Number,
2024,February,Maharashtra,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,4,value in Absolute Number,
2016,March,Rajasthan,All Vahan Running Office,MOTOR CAR,PETROL,4926,value in Absolute Number,
2015,November,Karnataka,All Vahan Running Office,MOTOR CAB,PETROL/LPG,10,value in Absolute Number,
2018,March,Uttar Pradesh,All Vahan Running Office,MAXI CAB,PETROL,7,value in Absolute Number,
2019,July,Tamil Nadu,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,2,value in Absolute Number,
2020,January,Maharashtra,All Vahan Running Office,ADAPTED VEHICLE,PETROL,104,value in Absolute Number,
2015,May,Tripura,All Vahan Running Office,MOTOR CAR,CNG ONLY,82,value in Absolute Number,
2015,April,Gujarat,All Vahan Running Office,GOODS CARRIER,PETROL,11,value in Absolute Number,
2021,July,West Bengal,All Vahan Running Office,HEARSES,DIESEL,1,value in Absolute Number,
2017,January,Tamil Nadu,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),NOT APPLICABLE,7,value in Absolute Number,
2015,February,Maharashtra,All Vahan Running Office,THREE WHEELER (PERSONAL),DIESEL,114,value in Absolute Number,
2020,July,Puducherry,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,3,value in Absolute Number,
2018,April,Haryana,All Vahan Running Office,MAXI CAB,DIESEL,32,value in Absolute Number,
2018,May,Haryana,All Vahan Running Office,MOTOR CAB,DIESEL/HYBRID,18,value in Absolute Number,
2024,May,Uttarakhand,All Vahan Running Office,AMBULANCE,DIESEL,7,value in Absolute Number,
2019,October,Assam,All Vahan Running Office,BUS,DIESEL,107,value in Absolute Number,
2024,October,Chandigarh,All Vahan Running Office,MOTOR CAR,PETROL/CNG,74,value in Absolute Number,
2025,April,Kerala,All Vahan Running Office,M-CYCLE/SCOOTER,CNG ONLY,102,value in Absolute Number,
2022,March,Punjab,All Vahan Running Office,MOTOR CAB,PETROL,30,value in Absolute Number,
2022,December,Puducherry,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),2,value in Absolute Number,
2019,March,Andhra Pradesh,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,357,value in Absolute Number,
2023,January,Haryana,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),131,value in Absolute Number,
2023,December,Kerala,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,26,value in Absolute Number,
2016,January,Odisha,All Vahan Running Office,MAXI CAB,DIESEL,366,value in Absolute Number,
2021,October,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),16,value in Absolute Number,
2014,April,Tamil Nadu,All Vahan Running Office,MOTOR CAR,LPG ONLY,3,value in Absolute Number,
2014,March,West Bengal,All Vahan Running Office,MOTOR CAB,PETROL,1,value in Absolute Number,
2015,December,West Bengal,All Vahan Running Office,LUXURY CAB,PETROL,24,value in Absolute Number,
2017,March,Punjab,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,4,value in Absolute Number,
2022,July,Gujarat,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,80,value in Absolute Number,
2024,August,Jammu and Kashmir,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),234,value in Absolute Number,
2019,September,Punjab,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,32,value in Absolute Number,
2024,August,Karnataka,All Vahan Running Office,FORK LIFT,DIESEL,3,value in Absolute Number,
2018,September,Uttar Pradesh,All Vahan Running Office,MOTOR CAB,PETROL/LPG,2,value in Absolute Number,
2021,October,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,4,value in Absolute Number,
2018,July,Gujarat,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),2,value in Absolute Number,
2018,July,West Bengal,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/LPG,136,value in Absolute Number,
2022,May,Maharashtra,All Vahan Running Office,MOBILE CLINIC,DIESEL,1,value in Absolute Number,
2023,June,Delhi,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,CNG ONLY,2,value in Absolute Number,
2022,May,Karnataka,All Vahan Running Office,ADAPTED VEHICLE,ELECTRIC(BOV),2,value in Absolute Number,
2018,October,Andhra Pradesh,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,81,value in Absolute Number,
2014,March,Karnataka,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,92,value in Absolute Number,
2014,August,Rajasthan,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,233,value in Absolute Number,
2019,November,Himachal Pradesh,All Vahan Running Office,MOBILE WORKSHOP,DIESEL,1,value in Absolute Number,
2024,July,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,57,value in Absolute Number,
2019,December,Chhattisgarh,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,2,value in Absolute Number,
2015,December,Karnataka,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,22,value in Absolute Number,
2023,May,Karnataka,All Vahan Running Office,MOPED,PETROL/ETHANOL,3,value in Absolute Number,
2020,July,Uttar Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL,3813,value in Absolute Number,
2019,February,Jharkhand,All Vahan Running Office,AUXILIARY TRAILER,NOT APPLICABLE,91,value in Absolute Number,
2016,December,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,4,value in Absolute Number,
2024,January,West Bengal,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,3,value in Absolute Number,
2014,September,Punjab,All Vahan Running Office,MOTOR CAR,PETROL/CNG,10,value in Absolute Number,
2023,March,Jharkhand,All Vahan Running Office,MOTOR CAB,ELECTRIC(BOV),7,value in Absolute Number,
2021,August,Karnataka,All Vahan Running Office,HARVESTER,DIESEL,31,value in Absolute Number,
2019,April,Chhattisgarh,All Vahan Running Office,HARVESTER,NOT APPLICABLE,11,value in Absolute Number,
2024,January,Delhi,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,2626,value in Absolute Number,
2020,June,Andhra Pradesh,All Vahan Running Office,FORK LIFT,DIESEL,4,value in Absolute Number,
2024,October,Chhattisgarh,All Vahan Running Office,MOTOR CAR,PETROL,7370,value in Absolute Number,
2014,July,Ladakh,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,7,value in Absolute Number,
2016,April,Bihar,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,2110,value in Absolute Number,
2020,May,Chhattisgarh,All Vahan Running Office,MOTOR CAB,PETROL,6,value in Absolute Number,
2017,May,Chhattisgarh,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,1,value in Absolute Number,
2017,April,Uttar Pradesh,All Vahan Running Office,ROAD ROLLER,DIESEL,6,value in Absolute Number,
2024,May,Uttar Pradesh,All Vahan Running Office,GOODS CARRIER,CNG ONLY,1091,value in Absolute Number,
2019,March,Rajasthan,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),31,value in Absolute Number,
2015,February,Gujarat,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,2,value in Absolute Number,
2014,May,Chhattisgarh,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,21,value in Absolute Number,
2014,October,Arunachal Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,5,value in Absolute Number,
2017,September,Puducherry,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,4,value in Absolute Number,
2021,April,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,GOODS CARRIER,CNG ONLY,1,value in Absolute Number,
2023,August,Ladakh,All Vahan Running Office,MAXI CAB,DIESEL,39,value in Absolute Number,
2014,April,Tamil Nadu,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,NOT APPLICABLE,1,value in Absolute Number,
2016,December,Goa,All Vahan Running Office,MOTOR CAR,DIESEL,258,value in Absolute Number,
2022,October,Sikkim,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,293,value in Absolute Number,
2021,September,Goa,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,2,value in Absolute Number,
2021,July,Jammu and Kashmir,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,115,value in Absolute Number,
2021,February,Punjab,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/CNG,1,value in Absolute Number,
2023,May,Karnataka,All Vahan Running Office,PRIVATE SERVICE VEHICLE,CNG ONLY,11,value in Absolute Number,
2019,September,Rajasthan,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,234,value in Absolute Number,
2022,July,Uttarakhand,All Vahan Running Office,MOPED,ELECTRIC(BOV),1,value in Absolute Number,
2015,April,Maharashtra,All Vahan Running Office,OMNI BUS,DIESEL,1,value in Absolute Number,
2024,December,Madhya Pradesh,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,34,value in Absolute Number,
2016,August,Bihar,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,327,value in Absolute Number,
2022,December,Chhattisgarh,All Vahan Running Office,MOTOR CAB,DIESEL,28,value in Absolute Number,
2018,July,Tamil Nadu,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),2,value in Absolute Number,
2018,May,Haryana,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,122,value in Absolute Number,
2014,August,Odisha,All Vahan Running Office,MAXI CAB,PETROL/LPG,1,value in Absolute Number,
2024,May,Arunachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,571,value in Absolute Number,
2019,August,Himachal Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1,value in Absolute Number,
2015,January,Manipur,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,39,value in Absolute Number,
2014,November,Tamil Nadu,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,329,value in Absolute Number,
2017,March,Bihar,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),12,value in Absolute Number,
2025,February,Karnataka,All Vahan Running Office,ADAPTED VEHICLE,DIESEL,6,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,PETROL/ETHANOL,698,value in Absolute Number,
2024,January,Gujarat,All Vahan Running Office,MOTOR CAB,ELECTRIC(BOV),2,value in Absolute Number,
2022,March,Punjab,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),137,value in Absolute Number,
2021,November,Puducherry,All Vahan Running Office,MOTOR CAR,DIESEL,122,value in Absolute Number,
2019,June,Tamil Nadu,All Vahan Running Office,MOTOR CAR,DIESEL,4729,value in Absolute Number,
2016,August,Karnataka,All Vahan Running Office,ADAPTED VEHICLE,PETROL,228,value in Absolute Number,
2016,June,Haryana,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,1,value in Absolute Number,
2015,December,Tripura,All Vahan Running Office,MOTOR CAB,DIESEL,14,value in Absolute Number,
2019,September,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,1,value in Absolute Number,
2023,November,Uttarakhand,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,3,value in Absolute Number,
2014,December,Meghalaya,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,5,value in Absolute Number,
2019,February,Delhi,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),1362,value in Absolute Number,
